from_player,to_player,assists,assist_points
Chris Paul,Chris Paul,0,0
Chris Paul,Bismack Biyombo,18,36
Chris Paul,Harrison Barnes,106,276
Chris Paul,De'Aaron Fox,22,51
Chris Paul,Zach Collins,15,33
Chris Paul,Jordan McLaughlin,1,3
Chris Paul,Keldon Johnson,34,74
Chris Paul,Charles Bassey,6,12
Chris Paul,Devin Vassell,77,199
Chris Paul,Tre Jones,4,8
Chris Paul,David Duke Jr.,0,0
Chris Paul,Sandro Mamukelashvili,11,28
Chris Paul,Julian Champagnie,51,137
Chris Paul,Malaki Branham,10,26
Chris Paul,Blake Wesley,7,15
Chris Paul,Jeremy Sochan,51,105
Chris Paul,Harrison Ingram,0,0
Chris Paul,Sidy Cissoko,0,0
Chris Paul,Victor Wembanyama,121,301
Chris Paul,Stephon Castle,71,166
Bismack Biyombo,Chris Paul,4,10
Bismack Biyombo,Bismack Biyombo,0,0
Bismack Biyombo,Harrison Barnes,2,6
Bismack Biyombo,De'Aaron Fox,3,8
Bismack Biyombo,Zach Collins,0,0
Bismack Biyombo,Jordan McLaughlin,0,0
Bismack Biyombo,Keldon Johnson,0,0
Bismack Biyombo,Charles Bassey,0,0
Bismack Biyombo,Devin Vassell,15,35
Bismack Biyombo,Tre Jones,0,0
Bismack Biyombo,David Duke Jr.,0,0
Bismack Biyombo,Sandro Mamukelashvili,0,0
Bismack Biyombo,Julian Champagnie,0,0
Bismack Biyombo,Malaki Branham,1,3
Bismack Biyombo,Blake Wesley,1,2
Bismack Biyombo,Jeremy Sochan,0,0
Bismack Biyombo,Harrison Ingram,0,0
Bismack Biyombo,Sidy Cissoko,0,0
Bismack Biyombo,Victor Wembanyama,0,0
Bismack Biyombo,Stephon Castle,5,13
Harrison Barnes,Chris Paul,12,33
Harrison Barnes,Bismack Biyombo,1,2
Harrison Barnes,Harrison Barnes,0,0
Harrison Barnes,De'Aaron Fox,3,7
Harrison Barnes,Zach Collins,0,0
Harrison Barnes,Jordan McLaughlin,0,0
Harrison Barnes,Keldon Johnson,7,17
Harrison Barnes,Charles Bassey,1,2
Harrison Barnes,Devin Vassell,25,64
Harrison Barnes,Tre Jones,3,7
Harrison Barnes,David Duke Jr.,0,0
Harrison Barnes,Sandro Mamukelashvili,6,14
Harrison Barnes,Julian Champagnie,17,45
